movie_id,genre_id
862,16
862,10751
8844,12
8844,14
8844,10751
31357,18
949,28
949,80
949,18
45325,28
45325,12
45325,18
45325,10751
9091,28
9091,12
710,12
710,28
9087,18
21032,10751
21032,16
21032,12
10858,18
1408,28
1408,12
524,18
524,80
4584,18
5,80
9273,80
9273,12
11517,28
11517,80
8012,80
1710,18
9691,28
9691,12
9691,80
12665,18
12665,14
451,18
16420,18
9263,18
9263,10751
17015,18
902,14
902,12
37557,18
37557,80
9909,18
9909,80
78802,12
9598,14
9598,18
9598,10751
47018,18
687,18
139405,12
139405,18
139405,10751
33689,10751
9603,18
34615,18
31174,18
11443,28
11443,80
11443,18
35196,18
9312,28
9312,14
577,14
577,18
11861,18
807,80
10530,12
10530,16
10530,18
10530,10751
8391,18
629,18
629,80
117164,28
117164,18
49133,18
26441,28
26441,12
26441,10751
97406,18
9089,18
11010,18
99040,18
11359,12
11359,10751
11359,14
17182,18
2054,10402
2054,18
2054,10751
11525,28
40628,18
40628,10751
755,28
755,80
11859,28
28387,18
48750,18
20927,18
36929,10751
124626,99
27526,18
9623,18
46785,10751
46785,18
400,18
400,80
880,18
146599,18
8447,18
10534,28
10534,18
17414,12
17414,10751
2086,80
2086,18
61548,18
9095,18
9283,18
9208,28
9208,12
9208,18
406,18
45549,28
45549,12
45549,18
63076,99
11062,18
13685,80
13685,18
2045,18
688,18
11907,18
11907,10751
10874,28
10874,10402
10874,10751
10874,12
89333,99
96357,80
197,28
197,18
103,80
103,18
33542,80
33542,28
43566,18
71754,18
51352,99
51352,18
16934,80
16934,18
78406,18
55731,28
55731,12
55731,18
55731,10751
32119,18
11104,18
37975,18
27793,14
44284,18
32622,18
73067,18
11863,28
55475,18
124636,10402
124636,99
123360,99
39428,18
9302,18
249882,18
16388,18
9737,28
9737,80
30765,28
30765,12
30765,18
30765,10751
10474,18
10474,80
22279,18
30157,80
30157,18
568,18
11780,12
34996,18
414,28
414,80
414,14
649,18
1873,18
1775,28
8839,14
8839,10751
20649,80
20649,18
10329,28
10329,12
10329,18
8963,28
8963,18
26564,99
8068,28
8068,80
8512,18
1572,28
13552,28
13552,80
13552,18
259209,18
259209,80
6520,28
6520,12
6520,18
9073,12
10428,28
10428,80
10428,18
17447,18
9886,12
9886,28
9886,18
19326,18
9344,18
9344,80
9071,18
15730,18
47608,18
47608,10751
9070,28
9070,12
9070,10751
