movie_id,genre_id
42593,18
23847,18
47802,18
11815,18
1727,28
184,80
54568,18
33642,12
3989,10402
2157,12
9459,10402
53565,16
36915,18
30349,18
10137,10751
6978,12
51679,99
13201,80
9296,18
57825,10402
40082,18
17258,80
65448,18
15313,28
28032,18
919,14
10445,18
33135,18
11594,18
10992,10751
8487,12
7364,18
11708,10402
14334,14
24109,80
61485,18
30502,10751
21185,28
26269,80
23995,99
73116,18
14553,18
61651,18
9715,18
19042,14
54825,16
15081,10751
10609,18
49814,80
31532,10402
17920,18
12625,18
2033,18
95627,80
8293,18
5528,18
44098,18
40440,99
9597,80
12503,18
3101,28
33633,18
9326,12
21253,18
12647,18
2054,10402
20312,14
41206,80
668,28
2144,28
21887,18
12665,18
19621,80
57744,18
1093,18
30246,18
9464,18
146341,80
193,28
18734,18
33644,18
10708,10751
9387,28
23550,18
17768,10402
150,28
11052,16
326890,18
15983,28
85689,18
4973,18
8073,18
8068,80
26331,80
20307,28
319,80
45186,80
1280,18
3529,80
23152,18
211,18
32625,18
1498,28
56616,18
745,18
17467,28
31776,80
15074,28
42848,18
54979,12
9387,12
20367,80
51145,18
21348,16
9685,18
3426,18
12576,18
585,10751
79783,10751
77448,99
31583,18
12774,18
526,12
14024,18
17435,18
33731,18
65203,10402
9410,18
43915,28
5693,10751
118991,80
11837,16
6282,10402
22342,80
9372,18
32526,80
11212,28
30180,10402
414,14
423,18
1499,12
10234,18
10159,28
14746,28
76330,99
25005,18
16227,80
14455,28
32027,18
10134,28
979,80
11081,80
29887,10751
20721,18
43596,18
699,12
41799,18
41488,18
16958,80
24010,18
43358,18
11054,10402
44190,18
10680,18
9443,18
11708,14
35848,80
72308,99
40815,12
22625,18
14275,99
86295,28
11655,18
3087,18
238,18
25684,28
1643,18
1359,18
10693,14
10396,12
10428,28
15024,18
16442,28
23303,18
2024,28
13984,10402
180,28
55687,28
85589,18
21468,10402
26639,18
47871,28
42113,18
114524,99
955,12
3586,18
17990,18
19209,10751
16850,18
48035,18
78568,18
17814,80
6974,12
587,12
8409,28
8953,14
37627,10402
65075,99
14411,12
21539,10751
2768,80
26723,10402
10130,18
94440,18
30285,10751
6183,18
11375,12
44379,99
11976,14
41857,28
20992,80
22976,28
11535,28
13665,18
13398,16
38802,10751
22796,18
11474,28
16248,10751
39256,28
70113,18
1574,80
31661,18
10658,14
46727,18
17962,14
204,18
299,10402
31465,18
32041,28
15665,99
12716,12
3055,10402
57558,18
14615,18
14576,80
47694,18
17464,10402
25099,99
10548,99
10299,18
2749,28
19348,18
10660,18
71940,18
10056,80
67899,80
11194,28
1844,18
17421,16
27994,14
10937,18
1585,18
11690,28
146599,18
12544,18
10629,18
5241,18
10697,18
2750,18
1634,10751
20511,80
13703,80
2928,18
225,18
12211,28
122190,18
11411,12
2148,80
22501,16
2616,18
44373,18
32685,10751
47502,18
19378,10751
10633,18
42418,12
49948,10751
9275,18
37244,18
871,28
8996,18
25842,10751
20298,18
26515,14
13764,10751
10105,18
41968,28
19974,18
53712,18
10022,10751
10449,18
11541,18
15371,16
3179,16
707,28
17908,18
24936,18
49069,14
30363,18
4965,28
29587,99
47715,18
42193,12
61144,18
19004,16
11595,28
278621,18
439,18
44857,18
11366,14
20246,80
20379,12
7095,18
6173,80
9702,80
11370,28
9797,18
31530,10402
72087,18
22707,99
21338,80
178,28
37853,18
26893,18
55604,12
2731,18
23470,28
16220,16
33516,18
1832,12
80243,18
9387,14
9473,10402
120683,99
4911,80
16085,18
10047,12
9057,28
9457,12
8052,18
42453,28
526,14
11316,18
802,18
9873,28
58925,80
15677,18
18161,99
35206,12
49636,14
32628,18
47105,99
34723,18
12456,18
28737,28
27511,18
120,28
688,18
86463,10402
1499,14
77283,18
40480,28
20678,28
9562,12
44875,14
41670,80
10935,28
20645,18
26372,18
1126,18
15789,10751
25001,80
22479,80
26282,12
9096,12
26964,18
10447,28
1926,18
10028,10402
85472,99
47542,18
32077,18
4927,18
8873,10402
32456,18
22,12
13466,18
4917,18
327,80
33851,18
16690,12
35032,10402
21925,18
26252,28
2210,10402
58129,14
49291,28
33734,10402
64868,18
14794,18
48287,10751
123728,18
26606,80
62185,28
42134,18
14030,10751
4978,12
9741,18
3132,28
289,18
37112,10751
16769,10402
37916,18
11935,18
24558,80
44540,18
10684,18
587,14
85058,18
6723,28
6964,18
2085,80
27804,10402
11386,80
10147,80
15855,10402
19174,28
34774,12
2098,10402
37233,18
17711,12
32631,28
11360,16
4105,28
28501,18
40001,18
37144,80
410921,28
39983,18
11790,18
6038,28
32484,18
19158,18
605,12
16858,18
2034,28
118617,99
43004,18
24348,10402
43388,28
168535,18
10956,12
11176,12
278939,18
38560,28
3031,12
69234,10402
22156,80
832,80
45418,18
20758,18
31117,10751
18,28
22976,14
2924,28
55475,18
14317,10751
10569,80
31671,12
22611,16
20638,80
16300,14
11673,18
9812,80
435,12
64398,18
17984,10751
9344,80
20689,80
16437,28
38147,14
24662,10402
49126,18
39088,28
1541,80
40628,18
10122,10751
9476,12
13333,28
97537,99
6415,12
607,28
18,12
88893,18
535,10402
40634,18
8195,12
89,12
20639,10751
504,18
17352,10402
6279,10402
12496,28
6399,12
112,18
50850,10751
14623,10751
132,10402
9770,18
20873,80
74239,10402
10102,18
21741,99
46686,28
80350,28
968,18
16229,18
30547,10751
60437,18
38360,18
88421,99
51333,10402
408,10751
9570,10751
21311,12
18979,12
10336,28
6081,80
9822,28
20321,80
20737,10751
27016,10402
62127,10402
18886,28
132422,18
12335,10751
9433,12
11020,18
9559,80
68440,18
9331,28
5333,18
26877,28
99008,10402
37135,18
25905,18
9846,80
436,80
1718,28
42136,28
86483,80
37607,18
10086,18
24883,10751
20164,18
15170,10751
33665,18
37949,12
19326,18
95466,18
11135,80
14135,18
41974,18
18886,12
1642,28
22257,80
1832,14
332,28
13245,18
896,18
41516,12
13465,10751
887,18
24645,18
9683,18
916,28
11395,18
47295,99
9458,18
35201,80
15244,18
10587,80
31023,18
28032,10751
22561,14
66043,18
2262,80
1976,18
11010,18
12584,18
10637,18
10166,12
5121,18
216794,18
118121,18
10776,10402
2048,28
42453,14
47959,18
105130,28
10180,28
31921,18
43278,18
530,10751
25497,80
39314,28
23615,18
11779,10402
45572,28
404,18
12615,18
4553,18
26056,18
24453,18
11319,12
22,14
1714,18
11300,28
42604,18
14522,10751
15660,18
36221,18
16690,14
43041,10751
1770,18
3110,18
18889,99
36446,18
6917,14
14873,16
1654,28
16606,28
10863,18
824,18
76,18
70801,18
769,80
78231,10402
10340,10751
110513,18
37437,28
24746,28
17708,28
10610,28
595,18
811,12
2088,28
42816,18
11023,80
16941,18
12485,14
9425,28
1913,18
9362,28
49622,18
31507,18
70581,18
593,18
39859,80
5902,18
6878,10751
29478,18
27726,18
1965,18
10862,18
775,12
48211,80
11471,28
20006,18
11954,14
9516,28
37088,99
35170,18
20483,12
10381,18
35101,10751
403,18
20763,18
282919,18
10355,12
103,18
25988,18
46929,10751
22617,28
16301,99
16560,28
43911,18
44691,18
97044,99
29903,28
11774,12
37230,18
32144,18
9909,18
35694,18
1448,18
36815,18
11018,28
221917,18
32690,18
4485,28
10448,12
4879,18
8341,12
25006,28
9323,16
22160,12
11649,12
61049,28
112991,18
4176,18
18,14
98491,18
9531,28
16859,16
41209,18
5052,80
41384,99
14819,18
19317,12
8076,14
36652,18
47340,18
9593,10751
13795,99
1649,10751
28219,18
14931,80
15370,16
31713,18
11296,18
50123,18
10622,80
27430,18
36855,10751
48791,18
11657,80
29463,10402
1051,80
20324,18
13817,18
19457,28
47692,18
44497,18
129,16
17889,14
214735,18
35680,10751
9509,80
100894,18
13321,18
455,18
31304,18
16765,99
573,18
35569,28
34996,18
14337,18
941,80
1548,18
20343,10402
26648,18
10882,14
35936,10402
9040,18
9414,28
10419,18
31586,18
10337,18
20289,18
42160,28
22796,10751
299,80
16661,18
40507,28
98,18
86295,18
118910,18
820,18
10336,14
46466,18
22915,28
16636,99
241,18
41516,14
10333,18
14805,28
41469,18
18975,10751
47907,18
284096,18
29987,18
9481,80
4133,18
30765,18
18671,80
56167,18
41316,99
1619,18
10909,80
10020,10751
5062,80
17831,28
983,18
107693,18
10206,28
12237,99
46786,18
44800,18
28313,18
21355,18
10166,14
76397,18
24750,18
79515,99
19361,18
15045,18
43875,18
510,18
2616,10751
9879,80
11572,16
13403,10402
23069,12
31589,80
63020,18
8850,12
13496,28
11319,14
31397,28
41817,14
16617,80
110838,18
37214,18
64079,18
12610,16
70842,18
42645,10751
4254,18
8392,10751
38914,14
9013,12
14372,28
3040,14
38665,12
159569,99
40423,10402
48967,10402
10948,16
616,28
9404,28
50474,18
12531,18
19186,10751
38244,18
21135,18
41277,18
10996,16
14280,28
38965,14
22660,12
16646,18
49685,18
12092,16
57644,10402
52782,18
9277,80
40505,28
113279,99
21309,18
775,14
62204,18
68426,99
12233,10751
4599,18
5227,12
27381,80
32078,18
28046,28
10341,18
2620,28
78281,18
35935,99
13939,28
871,18
29475,10402
27224,18
2319,18
185465,18
3177,28
58902,18
34723,10751
26205,18
33152,80
46326,18
41968,18
9896,12
15850,18
10413,18
15462,18
44047,18
234,18
679,28
28026,10402
49640,28
19101,10751
31225,99
43657,18
11866,18
3525,18
1418,18
57337,99
47542,10751
1058,18
548,80
29911,10751
22614,18
11649,14
13435,18
29903,14
47684,18
25237,18
11898,18
11895,80
117500,18
41939,18
11074,80
9355,28
10481,10751
46932,18
2998,18
14040,18
45218,18
31161,80
29071,14
594,18
18674,18
25296,18
125413,18
340210,28
10896,18
10847,12
32488,18
28257,80
27665,18
38438,80
22213,28
8470,80
89482,18
11881,18
14676,18
11542,14
37025,18
35780,28
27062,18
42725,28
1623,80
3472,18
44540,10751
1492,12
10866,18
22638,28
40423,14
8920,16
29451,14
30141,10402
9268,18
6,28
32031,28
22958,18
43336,18
13682,16
42688,18
10573,18
1377,18
109479,18
10935,18
43047,18
62330,18
8439,99
18410,18
37258,18
18701,18
66566,18
10447,18
13572,12
21332,28
16425,18
27380,28
51044,10402
16214,28
8587,16
43329,28
63097,80
74340,18
96393,18
627,80
2297,18
10957,16
65,18
788,18
29264,14
40454,18
20758,10751
94666,18
29185,18
29887,10402
754,28
25536,18
22383,28
49291,18
25155,18
24130,28
16358,18
302,80
26142,18
42017,14
45671,18
16124,12
1613,80
980,18
15283,12
37517,80
40628,10751
11658,28
87729,18
33357,80
14242,99
20043,16
100973,18
18721,18
1594,80
21876,18
37900,80
543,80
18555,28
24961,10751
39180,28
9662,12
6440,18
6723,18
10388,18
27549,12
45522,28
75976,99
166680,12
596,18
1705,28
60672,28
22871,12
902,12
25994,18
66634,18
140897,18
20482,80
17169,28
6116,10402
8850,14
68348,99
4507,18
24807,18
13437,80
9594,80
32617,28
96288,99
6346,18
10081,12
5048,18
626,18
22021,12
1493,28
8440,18
38955,12
18890,16
15925,28
4762,18
1996,28
10339,12
2924,18
42724,18
21219,80
23305,28
12484,12
1480,18
9282,18
43199,10402
37135,10751
13937,18
28988,18
2047,18
1653,18
44415,18
18857,80
3309,80
39088,18
228890,18
41465,10751
73482,99
10835,80
9504,80
48216,18
58467,18
73100,18
42538,18
9441,18
31606,12
25720,28
10938,18
13936,10402
7450,12
21871,28
11395,10751
29380,10402
14638,80
12496,18
5227,14
14443,12
71805,12
124839,10402
46021,18
601,10751
1607,18
12489,18
9563,18
32081,18
9304,14
39266,99
14587,18
135890,18
36724,10402
1815,80
4339,18
11778,18
8838,80
8195,80
23479,10751
18252,14
17710,10751
53113,18
11777,18
8584,12
1637,28
12664,18
11169,80
45598,10402
19405,10751
84087,18
42222,18
21132,80
9385,10751
30157,18
8913,18
49948,10402
30983,99
7857,18
36337,80
49981,80
11333,28
18736,10751
20643,18
16234,16
30588,80
19765,18
2075,18
3596,18
14,18
47939,18
9071,18
70912,18
9415,80
16933,80
4108,80
11298,18
1642,18
44853,18
12395,80
35463,28
13783,18
10775,80
11057,18
42580,10751
884,18
30970,18
672,12
10751,80
5483,14
916,18
9882,80
161687,99
26955,18
15237,10402
43832,12
5622,10402
25660,80
24066,80
19119,18
8129,18
8989,14
10142,18
85,28
5503,28
5844,18
32093,28
18862,10751
395,12
13552,80
45549,18
6499,28
11511,14
95963,18
27102,18
8872,10402
34840,18
807,80
25059,18
232,28
11544,10751
50374,18
9872,10751
99318,18
10269,10402
50562,99
26124,18
17810,18
9839,18
10715,10751
36136,80
46989,18
10533,18
10534,18
41471,18
30959,18
16084,10751
13536,80
64166,18
4824,28
380,18
19740,18
11940,10751
24086,14
37437,18
11962,14
23655,10402
41951,18
56583,18
1592,18
15283,14
18780,28
2160,18
2088,18
576,12
19169,18
13818,18
12,16
31701,80
71065,28
6280,10751
43029,10402
22613,12
49798,18
1498,10751
14819,10751
13691,10751
14809,80
10599,14
11497,18
42172,80
157,12
11942,28
31642,28
49565,18
27549,14
10728,18
18069,18
